LANG,TOPIC,WORD
"ru","дом","гвоздь"
"ru","дом","унитаз"
"ru","дом","чайник"
"ru","дом","табурет"
"ru","дом","стул"
"ru","дом","ложка"
"ru","дом","чашка"
"ru","дом","пиала"
"ru","дом","мухобойка"
"ru","дом","компьютер"
"ru","дом","люстра"
"ru","дом","секция"
"ru","дом","мебель"
"ru","дом","балкон"
"ru","дом","подвал"
"ru","флора","гвоздика"
"ru","флора","куст"
"ru","флора","флорист"
"ru","флора","плющ"
"ru","флора","мухоловка"
"ru","флора","баобаб"
"ru","фауна","верблюд"
"ru","фауна","лис"
"ru","фауна","селёдка"
"ru","фауна","паук"
"ru","фауна","олень"
"ru","фауна","муха"
"ru","фауна","лошадь"
"ru","фауна","ягнёнок"
"ru","фауна","динозавр"
"ru","фауна","креветка"
"ru","еда","молоко"
"ru","еда","холодец"
"ru","еда","мороженое"
"ru","еда","уксус"
"ru","еда","кетчуп"
"ru","еда","гамбургер"
"ru","еда","какао"
"ru","еда","солянка"
"ru","тело человека","прыщ"
"ru","тело человека","кровь"
"ru","тело человека","козявка"
"ru","тело человека","ноздря"
"ru","тело человека","ягодицы"
"ru","тело человека","мозжечок"
"ru","тело человека","мозг"
"ru","тело человека","ноготь"
"ru","тело человека","грудь"
"ru","тело человека","висок"
"ru","тело человека","перхоть"
"ru","тело человека","хрящ"
"ru","тело человека","клык"
"ru","тело человека","щёки"
"ru","тело человека","лицо"
"ru","веселье","цирк"
"en","house","sofa"
"et","kodu","vood"
"et","kodu","laud"
"et","kodu","tool"
"et","kodu","kapp"
"et","kodu","hiir"
"et","kodu","kušett"
"et","kodu","rõdu"
"et","kodu","aken"
"et","kodu","aknalaud"
"et","söök","juust"
"et","söök","vorst"
"et","söök","või"
"et","söök","võileib"
"et","söök","burger"
"et","söök","viiner"
"et","söök","puder"
"et","söök","seljanka"
"et","söök","borš"
"et","söök","šnitsel"
"et","söök","piim"
"et","söök","kohupiim"
"et","söök","seen"
"et","söök","pitsa"
"et","fauna","krooks"
"et","fauna","kikerikii"
"et","fauna","kukeleegu"
"et","fauna","muu"
"et","fauna","huige"
"et","fauna","küünis"
